Municipios,Periodo,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona 
28070 Horcajo de la Sierra-Aoslos,2021,21.952,17.85,37.983,19.687,30.965,16.05
28071 Horcajuelo de la Sierra,2021,17.808,15.75,34.696,16.384,27.318,12.9
28072 Hoyo de Manzanares,2021,26.284,22.4,62.221,21.774,48.145,16.848
28073 Humanes de Madrid,2021,17.265,15.75,38.525,12.883,32.68,10.929
28074 LeganÃ©s,2021,19.751,17.85,40.974,15.658,34.335,13.12
28075 Loeches,2021,20.259,18.55,45.086,15.666,37.31,12.964
28076 Lozoya,2021,22.234,17.15,41.723,20.37,34.281,16.736
28078 Madarcos,2021,,,32.418,18.151,27.228,15.245
28079 Madrid,2021,26.348,20.65,56.453,22.587,43.953,17.586
28080 Majadahonda,2021,20.283,18.55,41.656839,16.457760999999998,34.941,13.665
28082 Manzanares el Real,2021,22.935,19.95,48.482,19.037,38.691,15.193
28083 Meco,2021,22.174,20.65,52.25,17.197,42.553,14.005
28084 Mejorada del Campo,2021,18.068,17.15,39.871,13.783,33.819,11.69
28085 Miraflores de la Sierra,2021,21.259,17.85,45.195,17.781,36.547,14.379
"28086 Molar, El",2021,17.854,15.75,38.74,13.852,32.406,11.588
"28087 Molinos, Los",2021,21.841,19.25,47.602,17.995,38.684,14.624
28088 Montejo de la Sierra,2021,19.255,17.15,34.928,16.443,29.441,13.86
28089 Moraleja de Enmedio,2021,20.728,19.25,48.176,15.749,39.923,13.051
28090 Moralzarzal,2021,24.949,22.75,59.991,20.016,47.63,15.892
28091 Morata de TajuÃ±a,2021,17.037,15.75,36.019,13.144,30.615,11.172
28092 MÃ³stoles,2021,19.081,17.85,40.872,14.875,34.529,12.566
28093 Navacerrada,2021,24.975,19.25,53.953,21.373,42.412,16.802
28094 Navalafuente,2021,19.246,16.45,38.585,15.786,32.152,13.154
28095 Navalagamella,2021,16.729,15.05,36.081,12.873,30.604,10.919
28096 Navalcarnero,2021,20.03,18.55,46.005,15.208,38.093,12.592
28097 Navarredonda y San MamÃ©s,2021,20.747,18.55,30.846,19.307,25.939,16.235
