Municipios,Periodo,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona 
28124 Robledillo de la Jara,2022,19.569095,17.25605,36.011120999999996,17.500467,30.346520999999996,14.747890999999997
28125 Robledo de Chavela,2022,20.229965,17.25605,41.532008,16.777706,34.497414,13.935965
28126 Robregordo,2022,,,34.006482,19.040398999999997,28.562172,15.992004999999999
"28127 Rozas de Madrid, Las",2022,20.283,18.55,41.656839,16.457760999999998,34.941,13.665
28128 Rozas de Puerto Real,2022,18.777099999999997,17.990349999999996,33.677096,16.053895999999998,28.550632999999998,13.609726
28129 San AgustÃ­n del Guadalix,2022,29.30906,23.13045,41.656839,23.370670999999998,34.941,18.09525
28130 San Fernando de Henares,2022,21.009372,19.458949999999998,45.446875999999996,16.588886,38.032543999999994,13.882465999999999
28131 San Lorenzo de El Escorial,2022,23.674881,20.19325,50.787335,19.594270999999996,40.834422999999994,15.753881999999999
28132 San MartÃ­n de la Vega,2022,18.37848,17.25605,42.034479,13.801692999999998,35.51074799999999,11.659635
28133 San MartÃ­n de Valdeiglesias,2022,17.934753,15.053149999999999,37.525877,14.158352999999998,31.524547999999996,11.894611
28134 San SebastiÃ¡n de los Reyes,2022,26.937270999999996,22.39615,61.060191999999994,21.898924,47.883703,17.173178999999998
28135 Santa MarÃ­a de la Alameda,2022,17.315843,15.053149999999999,33.040352999999996,14.542286999999998,27.799549,12.235536
28136 Santorcaz,2022,20.214229999999997,18.72465,38.909507999999995,16.117884999999998,32.645928999999995,13.523708
"28137 Santos de la Humosa, Los",2022,20.202690999999998,18.72465,44.367455,15.431839,36.916408,12.840808999999998
"28138 Serna del Monte, La",2022,18.357499999999998,17.25605,33.247006,14.468856999999998,29.020584999999997,12.628910999999999
28140 Serranillos del Valle,2022,22.295446,20.19325,54.059166,17.153247999999998,43.966736999999995,13.950650999999999
28141 Sevilla la Nueva,2022,22.290200999999996,20.19325,50.51879099999999,17.446968000000002,41.074644,14.185626999999998
28143 Somosierra,2022,,,34.006482,19.040398999999997,28.562172,15.992004999999999
28144 Soto del Real,2022,27.662129999999998,23.864749999999997,65.639077,22.745466999999998,51.536320999999994,17.858176
28145 Talamanca de Jarama,2022,20.479626999999997,18.72465,43.379297,16.053895999999998,35.956573,13.306564999999999
28146 Tielmes,2022,17.442771999999998,16.521749999999997,35.269478,13.475454,30.241621,11.554734999999999
28147 Titulcia,2022,19.050889,17.990349999999996,40.098025,15.029022999999999,33.863817999999995,12.692899999999998
28148 TorrejÃ³n de Ardoz,2022,20.625438,18.72465,45.773115,16.063337,38.096533,13.369504999999998
28149 TorrejÃ³n de la Calzada,2022,22.164321,20.19325,52.791973999999996,17.021074,43.060401,13.883515
28150 TorrejÃ³n de Velasco,2022,20.955873,19.458949999999998,47.573198999999995,16.197609,39.414077,13.418807999999999
28151 Torrelaguna,2022,20.010724,18.72465,42.229592999999994,15.602826,35.565296000000004,13.140822999999997
28152 Torrelodones,2022,20.283,18.55,41.656839,16.457760999999998,34.941,13.665
28153 Torremocha de Jarama,2022,23.433610999999996,20.927549999999997,46.721410999999996,19.664554,38.559142,16.229079
28154 Torres de la Alameda,2022,19.556507,17.990349999999996,43.39713,14.962936,36.641569999999994,12.634155999999999
28155 Valdaracete,2022,18.272531,15.78745,33.561706,13.939112,29.265002,12.153713999999999
28156 Valdeavero,2022,19.795678999999996,18.72465,41.768032999999996,15.326939,35.228567,12.926827
28157 Valdelaguna,2022,18.495968,16.521749999999997,35.079609,14.827614999999998,29.749639999999996,12.574363
28158 Valdemanco,2022,20.473332999999997,17.25605,39.328058999999996,16.738893,32.581939999999996,13.86778
28159 Valdemaqueda,2022,16.299362,14.31885,30.737797999999998,13.190126,26.51872,11.379552
28160 Valdemorillo,2022,24.817242,21.661849999999998,56.452984,20.485920999999998,44.610822999999996,16.189217
28161 Valdemoro,2022,22.119213999999996,20.19325,50.966713999999996,17.070376999999997,41.740759,13.980023
28162 Valdeolmos-Alalpardo,2022,26.004709999999996,22.39615,61.563711999999995,20.648516,47.618306,15.971025
28163 ValdepiÃ©lagos,2022,20.024361,18.72465,43.538745,15.870320999999999,36.66464799999999,13.365308999999998
28164 Valdetorres de Jarama,2022,20.891883999999997,17.990349999999996,47.013033,16.45881,38.587464999999995,13.509022
28165 Valdilecha,2022,17.343117,15.78745,36.27442,13.419856999999999,31.03991,11.483403
28166 Valverde de AlcalÃ¡,2022,20.071566,17.990349999999996,40.43580299999999,16.586788,31.182573999999995,12.791506
28167 Velilla de San Antonio,2022,21.742623,20.19325,50.609004999999996,16.911977999999998,41.60019299999999,13.901348
"28168 VellÃ³n, El",2022,18.678494,17.25605,37.039140999999994,14.992308,31.22873,12.64045
28169 Venturada,2022,20.283,18.55,41.656839,16.457760999999998,55.89596499999999,20.642222
28170 Villaconejos,2022,16.538534,15.053149999999999,33.53338299999999,12.508275999999999,29.155905999999998,10.874983
28171 Villa del Prado,2022,17.466898999999998,15.78745,37.427271,13.452376,32.016529,11.50753
28172 Villalbilla,2022,26.884821,23.864749999999997,63.256797999999996,21.423726999999996,50.053035,16.95184
28173 Villamanrique de Tajo,2022,17.270735999999996,15.78745,32.153948,13.787007,27.520514999999996,11.800201
28174 Villamanta,2022,18.641779,16.521749999999997,40.608888,14.488787999999998,34.19635099999999,12.200918999999999
28175 Villamantilla,2022,20.965314,18.72465,45.23602699999999,16.478741,37.38426199999999,13.618117999999999
28176 Villanueva de la CaÃ±ada,2022,20.283,18.55,41.656839,16.457760999999998,34.941,19.419088
28177 Villanueva del Pardillo,2022,27.648493,23.864749999999997,41.656839,21.908365,55.552941999999994,16.964427999999998
28178 Villanueva de Perales,2022,20.021213999999997,18.72465,44.563618,15.266097,37.311881,12.782065
28179 Villar del Olmo,2022,21.997529999999998,18.72465,49.381675,18.064829,39.750806,14.541238
28180 Villarejo de SalvanÃ©s,2022,18.314490999999997,17.25605,38.394448999999994,14.024080999999999,32.78964199999999,11.976432999999998
28181 Villaviciosa de OdÃ³n,2022,20.283,18.55,41.656839,16.457760999999998,34.941,20.200593
28182 Villavieja del Lozoya,2022,21.569538,18.72465,38.54550499999999,18.194905,32.076322,15.140216999999998
28183 Zarzalejo,2022,17.249755999999998,15.053149999999999,34.529933,13.763929,29.106603,11.601939999999999
28901 Lozoyuela-Navas-Sieteiglesias,2022,18.114131999999998,16.521749999999997,36.282812,14.472003999999998,30.508066999999997,12.168399999999998
28902 Puentes Viejas,2022,21.912560999999997,18.72465,40.878481,18.939694999999997,33.778849,15.650031
28903 Tres Cantos,2022,20.283,18.55,41.656839,16.457760999999998,34.941,13.665
