 Municipio,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro construccion,Paro Servicios,Paro Sin empleo Anterior,mes,year
Canencia,34.0,2.0,2.0,13.0,5.0,3.0,9.0,0.0,0.0,1.0,28.0,5.0,02,2021
Carabaï¿½a,165.0,6.0,17.0,36.0,5.0,47.0,54.0,1.0,8.0,17.0,130.0,9.0,02,2021
Casarrubuelos,270.0,12.0,46.0,49.0,11.0,63.0,89.0,2.0,36.0,17.0,193.0,22.0,02,2021
Cenicientos,213.0,10.0,35.0,47.0,9.0,57.0,55.0,7.0,15.0,24.0,152.0,15.0,02,2021
Cercedilla,437.0,9.0,89.0,95.0,19.0,108.0,117.0,12.0,7.0,40.0,352.0,26.0,02,2021
Cervera de Buitrago,13.0,0.0,1.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,12.0,1.0,02,2021
Ciempozuelos,195.0,9.0,28.5,355.0,7.0,44.0,539.0,17.0,130.0,17.0,147.0,13.0,02,2021
Cobeï¿½a,312.0,9.0,52.0,64.0,11.0,66.0,110.0,3.0,27.0,22.0,245.0,15.0,02,2021
Colmenar del Arroyo,118.0,8.0,21.0,29.0,3.0,24.0,33.0,2.0,8.0,7.0,94.0,7.0,02,2021
Colmenar de Oreja,698.0,32.0,91.0,152.0,29.0,183.0,211.0,19.0,87.0,75.0,486.0,31.0,02,2021
Colmenarejo,617.0,23.0,119.0,124.0,28.0,143.0,180.0,7.0,22.0,74.0,493.0,21.0,02,2021
Colmenar Viejo,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,02,2021
Collado Mediano,522.0,14.0,84.0,139.0,19.0,117.0,149.0,4.0,22.0,71.0,396.0,29.0,02,2021
Collado Villalba,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,02,2021
Corpa,58.0,3.0,10.0,13.0,2.0,19.0,11.0,0.0,10.0,3.0,43.0,2.0,02,2021
Coslada,195.0,9.0,28.5,47.0,7.0,44.0,58.0,23.0,12.0,17.0,147.0,13.0,02,2021
Cubas de la Sagra,341.0,23.0,46.0,55.0,12.0,106.0,99.0,1.0,38.0,21.0,255.0,26.0,02,2021
Chapinerï¿½a,191.0,21.0,31.0,44.0,9.0,32.0,54.0,1.0,9.0,10.0,153.0,18.0,02,2021
Chinchï¿½n,422.0,16.0,65.0,92.0,19.0,97.0,133.0,22.0,25.0,28.0,310.0,37.0,02,2021
Daganzo de Arriba,611.0,37.0,67.0,121.0,33.0,113.0,240.0,1.0,74.0,35.0,465.0,36.0,02,2021
"Escorial, El",946.0,38.0,159.0,225.0,30.0,183.0,311.0,6.0,38.0,63.0,798.0,41.0,02,2021
Estremera,106.0,4.0,12.0,24.0,2.0,28.0,36.0,3.0,5.0,14.0,74.0,10.0,02,2021
Fresnedillas de la Oliva,151.0,8.0,24.0,32.0,4.0,35.0,48.0,2.0,1.0,20.0,117.0,11.0,02,2021
Fresno de Torote,161.0,6.0,19.0,43.0,7.0,37.0,49.0,5.0,21.0,8.0,120.0,7.0,02,2021
Fuenlabrada,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,02,2021
Fuente el Saz de Jarama,482.0,34.0,82.0,101.0,17.0,111.0,137.0,4.0,33.0,49.0,358.0,38.0,02,2021
Fuentidueï¿½a de Tajo,195.0,4.0,25.0,38.0,6.0,45.0,77.0,13.0,16.0,18.0,139.0,9.0,02,2021
Galapagar,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,73.0,17.0,147.0,13.0,02,2021
Garganta de los Montes,22.0,1.0,3.0,8.0,0.0,2.0,8.0,0.0,4.0,1.0,17.0,0.0,02,2021
Gargantilla del Lozoya y Pinilla de Buitrago,26.0,0.0,1.0,13.0,0.0,4.0,8.0,1.0,0.0,0.0,23.0,2.0,02,2021
Gascones,11.0,2.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,8.0,1.0,02,2021
Getafe,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,02,2021
Griï¿½ï¿½n,538.0,26.0,83.0,85.0,24.0,128.0,192.0,4.0,44.0,33.0,410.0,47.0,02,2021
Guadalix de la Sierra,471.0,26.0,70.0,116.0,24.0,92.0,143.0,7.0,19.0,44.0,362.0,39.0,02,2021
Guadarrama,954.0,47.0,160.0,224.0,42.0,214.0,267.0,10.0,30.0,75.0,794.0,45.0,02,2021
"Hiruela, La",4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,02,2021
Horcajo de la Sierra-Aoslos,10.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,2.0,8.0,0.0,02,2021
Horcajuelo de la Sierra,8.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,6.0,0.0,02,2021
Hoyo de Manzanares,417.0,16.0,59.0,121.0,10.0,85.0,126.0,5.0,13.0,32.0,348.0,19.0,02,2021
Humanes de Madrid,1615.0,9.0,259.0,249.0,7.0,44.0,435.0,14.0,146.0,17.0,1193.0,13.0,02,2021
Leganï¿½s,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,02,2021
Loeches,614.0,30.0,78.0,110.0,30.0,174.0,192.0,9.0,62.0,50.0,462.0,31.0,02,2021
Lozoya,33.0,1.0,3.0,8.0,1.0,6.0,14.0,1.0,2.0,1.0,28.0,1.0,02,2021
Madarcos,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,02,2021
Madrid,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,02,2021
Majadahonda,195.0,9.0,28.5,47.0,7.0,44.0,58.0,16.0,111.0,17.0,147.0,13.0,02,2021
Manzanares el Real,564.0,23.0,98.0,158.0,20.0,128.0,137.0,4.0,26.0,49.0,467.0,18.0,02,2021
Meco,1015.0,56.0,170.0,165.0,53.0,247.0,324.0,11.0,113.0,73.0,765.0,53.0,02,2021
Mejorada del Campo,195.0,9.0,28.5,328.0,7.0,44.0,545.0,16.0,12.0,17.0,1435.0,96.0,02,2021
Miraflores de la Sierra,459.0,16.0,80.0,119.0,11.0,93.0,140.0,6.0,17.0,41.0,370.0,25.0,02,2021
"Molar, El",608.0,12.0,108.0,127.0,15.0,155.0,191.0,4.0,53.0,54.0,471.0,26.0,02,2021
"Molinos, Los",298.0,12.0,63.0,72.0,14.0,58.0,79.0,2.0,13.0,33.0,235.0,15.0,02,2021
Montejo de la Sierra,11.0,0.0,2.0,3.0,1.0,4.0,1.0,0.0,0.0,2.0,8.0,1.0,02,2021
Moraleja de Enmedio,343.0,10.0,54.0,64.0,19.0,94.0,102.0,2.0,37.0,19.0,265.0,20.0,02,2021
Moralzarzal,742.0,37.0,113.0,183.0,37.0,125.0,247.0,7.0,35.0,52.0,611.0,37.0,02,2021
Morata de Tajuï¿½a,677.0,30.0,100.0,128.0,28.0,176.0,215.0,3.0,80.0,65.0,446.0,55.0,02,2021
Mï¿½stoles,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,02,2021
Navacerrada,179.0,3.0,24.0,49.0,9.0,36.0,58.0,1.0,5.0,13.0,152.0,8.0,02,2021
Navalafuente,142.0,9.0,24.0,38.0,7.0,30.0,34.0,3.0,5.0,15.0,110.0,9.0,02,2021
Navalagamella,191.0,3.0,40.0,46.0,4.0,55.0,43.0,6.0,7.0,17.0,142.0,19.0,02,2021
Navalcarnero,195.0,9.0,28.5,47.0,7.0,44.0,591.0,3.0,12.0,17.0,147.0,13.0,02,2021
Navarredonda y San Mamï¿½s,7.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,5.0,0.0,02,2021
Navas del Rey,264.0,15.0,41.0,62.0,13.0,59.0,74.0,4.0,11.0,29.0,195.0,25.0,02,2021
Nuevo Baztï¿½n,532.0,26.0,90.0,122.0,26.0,110.0,158.0,3.0,64.0,41.0,403.0,21.0,02,2021
Olmeda de las Fuentes,17.0,1.0,3.0,2.0,0.0,4.0,7.0,0.0,0.0,0.0,16.0,1.0,02,2021
Orusco de Tajuï¿½a,117.0,1.0,12.0,26.0,7.0,32.0,39.0,0.0,11.0,13.0,81.0,12.0,02,2021
Paracuellos de Jarama,1110.0,38.0,157.0,235.0,34.0,299.0,347.0,23.0,78.0,67.0,909.0,33.0,02,2021
Parla,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,02,2021
Patones,26.0,2.0,7.0,5.0,2.0,4.0,6.0,0.0,1.0,0.0,24.0,1.0,02,2021
Pedrezuela,366.0,11.0,67.0,82.0,8.0,99.0,99.0,3.0,22.0,27.0,289.0,25.0,02,2021
Pelayos de la Presa,345.0,26.0,56.0,77.0,19.0,79.0,88.0,4.0,18.0,32.0,251.0,40.0,02,2021
Perales de Tajuï¿½a,324.0,12.0,57.0,63.0,14.0,71.0,107.0,1.0,36.0,35.0,216.0,36.0,02,2021
Pezuela de las Torres,54.0,3.0,6.0,16.0,2.0,11.0,16.0,0.0,5.0,4.0,41.0,4.0,02,2021
Pinilla del Valle,14.0,1.0,1.0,3.0,1.0,3.0,5.0,0.0,1.0,0.0,13.0,0.0,02,2021
Pinto,195.0,9.0,28.5,47.0,7.0,44.0,58.0,22.0,12.0,17.0,147.0,13.0,02,2021
