 Municipio,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro construccion,Paro Servicios,Paro Sin empleo Anterior,mes,year
Parla,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,06,2021
Patones,29.0,0.0,10.0,5.0,3.0,4.0,7.0,0.0,1.0,3.0,24.0,1.0,06,2021
Pedrezuela,339.0,9.0,46.0,74.0,8.0,96.0,106.0,2.0,20.0,20.0,275.0,22.0,06,2021
Pelayos de la Presa,320.0,21.0,56.0,72.0,16.0,64.0,91.0,3.0,13.0,34.0,232.0,38.0,06,2021
Perales de Tajuï¿½a,322.0,12.0,51.0,69.0,16.0,64.0,110.0,2.0,35.0,34.0,214.0,37.0,06,2021
Pezuela de las Torres,53.0,3.0,2.0,15.0,2.0,14.0,17.0,1.0,4.0,3.0,39.0,6.0,06,2021
Pinilla del Valle,10.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,9.0,0.0,06,2021
Pinto,195.0,9.0,28.5,47.0,7.0,44.0,58.0,19.0,12.0,17.0,147.0,13.0,06,2021
Piï¿½uï¿½car-Gandullas,12.0,0.0,3.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,11.0,1.0,06,2021
Pozuelo de Alarcï¿½n,195.0,76.0,28.5,47.0,57.0,44.0,58.0,14.0,109.0,127.0,147.0,13.0,06,2021
Pozuelo del Rey,98.0,1.0,14.0,14.0,2.0,32.0,35.0,0.0,10.0,7.0,78.0,3.0,06,2021
Prï¿½dena del Rincï¿½n,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,06,2021
Puebla de la Sierra,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,06,2021
Quijorna,226.0,13.0,31.0,50.0,4.0,47.0,81.0,2.0,11.0,15.0,180.0,18.0,06,2021
Rascafrï¿½a,81.0,4.0,10.0,28.0,1.0,11.0,27.0,1.0,3.0,4.0,70.0,3.0,06,2021
Redueï¿½a,23.0,1.0,2.0,5.0,0.0,7.0,8.0,0.0,3.0,2.0,17.0,1.0,06,2021
Ribatejada,65.0,2.0,4.0,15.0,3.0,14.0,27.0,2.0,0.0,0.0,60.0,3.0,06,2021
Rivas-Vaciamadrid,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,06,2021
Robledillo de la Jara,4.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,06,2021
Robledo de Chavela,322.0,21.0,35.0,74.0,23.0,63.0,106.0,7.0,12.0,21.0,247.0,35.0,06,2021
Robregordo,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,06,2021
"Rozas de Madrid, Las",195.0,80.0,28.5,47.0,56.0,44.0,58.0,7.0,114.0,17.0,147.0,13.0,06,2021
Rozas de Puerto Real,54.0,3.0,12.0,18.0,2.0,8.0,11.0,3.0,1.0,6.0,41.0,3.0,06,2021
San Agustï¿½n del Guadalix,673.0,16.0,87.0,160.0,18.0,142.0,250.0,4.0,53.0,45.0,553.0,18.0,06,2021
San Fernando de Henares,195.0,9.0,28.5,47.0,7.0,44.0,58.0,11.0,12.0,17.0,147.0,13.0,06,2021
San Lorenzo de El Escorial,1054.0,48.0,169.0,251.0,40.0,221.0,325.0,3.0,29.0,67.0,893.0,62.0,06,2021
San Martï¿½n de la Vega,1623.0,80.0,226.0,321.0,7.0,44.0,487.0,3.0,105.0,17.0,1197.0,13.0,06,2021
San Martï¿½n de Valdeiglesias,759.0,36.0,123.0,173.0,44.0,194.0,189.0,14.0,35.0,82.0,542.0,86.0,06,2021
San Sebastiï¿½n de los Reyes,195.0,9.0,28.5,47.0,7.0,44.0,58.0,16.0,12.0,17.0,147.0,13.0,06,2021
Santa Marï¿½a de la Alameda,113.0,2.0,11.0,34.0,5.0,27.0,34.0,0.0,4.0,7.0,98.0,4.0,06,2021
Santorcaz,55.0,2.0,6.0,13.0,1.0,12.0,21.0,0.0,4.0,3.0,42.0,6.0,06,2021
"Santos de la Humosa, Los",172.0,6.0,35.0,31.0,5.0,51.0,44.0,0.0,20.0,9.0,138.0,5.0,06,2021
"Serna del Monte, La",8.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,6.0,1.0,06,2021
Serranillos del Valle,293.0,14.0,42.0,53.0,16.0,75.0,93.0,0.0,30.0,26.0,215.0,22.0,06,2021
Sevilla la Nueva,592.0,26.0,88.0,128.0,27.0,127.0,196.0,3.0,28.0,43.0,478.0,40.0,06,2021
Somosierra,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,06,2021
Soto del Real,407.0,23.0,63.0,111.0,9.0,74.0,127.0,5.0,24.0,31.0,328.0,19.0,06,2021
Talamanca de Jarama,221.0,9.0,34.0,56.0,7.0,57.0,58.0,1.0,12.0,15.0,187.0,6.0,06,2021
Tielmes,253.0,11.0,33.0,70.0,7.0,59.0,73.0,12.0,30.0,20.0,169.0,22.0,06,2021
Titulcia,130.0,6.0,23.0,27.0,5.0,28.0,41.0,3.0,6.0,8.0,105.0,8.0,06,2021
Torrejï¿½n de Ardoz,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,06,2021
Torrejï¿½n de la Calzada,517.0,25.0,63.0,83.0,19.0,156.0,171.0,5.0,45.0,27.0,399.0,41.0,06,2021
Torrejï¿½n de Velasco,246.0,13.0,34.0,45.0,8.0,54.0,92.0,0.0,27.0,19.0,176.0,24.0,06,2021
Torrelaguna,281.0,9.0,49.0,60.0,12.0,70.0,81.0,5.0,12.0,24.0,218.0,22.0,06,2021
Torrelodones,876.0,24.0,126.0,221.0,16.0,168.0,321.0,5.0,32.0,39.0,756.0,44.0,06,2021
Torremocha de Jarama,46.0,4.0,8.0,9.0,3.0,9.0,13.0,2.0,2.0,4.0,36.0,2.0,06,2021
Torres de la Alameda,609.0,47.0,92.0,113.0,28.0,134.0,195.0,11.0,86.0,37.0,408.0,67.0,06,2021
Valdaracete,69.0,1.0,8.0,11.0,1.0,16.0,32.0,5.0,9.0,6.0,46.0,3.0,06,2021
Valdeavero,121.0,3.0,11.0,30.0,6.0,32.0,39.0,4.0,10.0,13.0,85.0,9.0,06,2021
Valdelaguna,75.0,3.0,12.0,11.0,4.0,25.0,20.0,6.0,6.0,4.0,54.0,5.0,06,2021
Valdemanco,50.0,1.0,5.0,14.0,2.0,13.0,15.0,0.0,3.0,3.0,39.0,5.0,06,2021
Valdemaqueda,87.0,5.0,13.0,22.0,1.0,23.0,23.0,1.0,3.0,13.0,66.0,4.0,06,2021
Valdemorillo,794.0,18.0,116.0,228.0,23.0,137.0,272.0,2.0,38.0,61.0,653.0,40.0,06,2021
Valdemoro,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,06,2021
Valdeolmos-Alalpardo,179.0,8.0,35.0,46.0,2.0,36.0,52.0,1.0,9.0,24.0,137.0,8.0,06,2021
Valdepiï¿½lagos,34.0,1.0,5.0,3.0,3.0,7.0,15.0,0.0,2.0,0.0,31.0,1.0,06,2021
Valdetorres de Jarama,339.0,14.0,46.0,83.0,13.0,74.0,109.0,1.0,27.0,24.0,268.0,19.0,06,2021
Valdilecha,299.0,15.0,43.0,60.0,13.0,82.0,86.0,11.0,28.0,25.0,205.0,30.0,06,2021
Valverde de Alcalï¿½,25.0,2.0,7.0,2.0,1.0,6.0,7.0,0.0,3.0,3.0,18.0,1.0,06,2021
Velilla de San Antonio,843.0,49.0,112.0,146.0,54.0,192.0,290.0,5.0,65.0,47.0,680.0,46.0,06,2021
"Vellï¿½n, El",158.0,5.0,20.0,42.0,3.0,44.0,44.0,3.0,5.0,16.0,121.0,13.0,06,2021
Venturada,102.0,2.0,13.0,29.0,3.0,21.0,34.0,2.0,7.0,4.0,84.0,5.0,06,2021
Villaconejos,243.0,9.0,29.0,44.0,15.0,64.0,82.0,16.0,15.0,17.0,178.0,17.0,06,2021
Villa del Prado,471.0,23.0,84.0,100.0,21.0,129.0,114.0,3.0,13.0,48.0,344.0,34.0,06,2021
Villalbilla,739.0,44.0,86.0,128.0,29.0,238.0,214.0,3.0,78.0,37.0,573.0,48.0,06,2021
Villamanrique de Tajo,82.0,3.0,11.0,13.0,4.0,25.0,26.0,6.0,9.0,2.0,62.0,3.0,06,2021
Villamanta,207.0,13.0,32.0,30.0,15.0,51.0,66.0,6.0,16.0,17.0,149.0,19.0,06,2021
Villamantilla,102.0,7.0,9.0,27.0,4.0,21.0,34.0,0.0,12.0,6.0,71.0,13.0,06,2021
Villanueva de la Caï¿½ada,869.0,18.0,131.0,209.0,26.0,191.0,294.0,8.0,36.0,54.0,726.0,45.0,06,2021
Villanueva del Pardillo,803.0,24.0,107.0,202.0,17.0,180.0,273.0,5.0,28.0,55.0,686.0,29.0,06,2021
Villanueva de Perales,116.0,13.0,12.0,28.0,7.0,23.0,33.0,2.0,3.0,12.0,88.0,11.0,06,2021
Villar del Olmo,134.0,3.0,10.0,35.0,4.0,35.0,47.0,1.0,13.0,14.0,96.0,10.0,06,2021
Villarejo de Salvanï¿½s,633.0,32.0,67.0,98.0,31.0,145.0,260.0,16.0,125.0,38.0,379.0,75.0,06,2021
Villaviciosa de Odï¿½n,1074.0,32.0,199.0,241.0,18.0,220.0,364.0,3.0,65.0,64.0,884.0,58.0,06,2021
Villavieja del Lozoya,14.0,1.0,1.0,7.0,0.0,3.0,2.0,1.0,0.0,1.0,12.0,0.0,06,2021
Zarzalejo,135.0,8.0,18.0,30.0,6.0,32.0,41.0,2.0,3.0,11.0,105.0,14.0,06,2021
Lozoyuela-Navas-Sieteiglesias,105.0,5.0,14.0,26.0,3.0,22.0,35.0,0.0,3.0,13.0,84.0,5.0,06,2021
Puentes Viejas,41.0,0.0,4.0,10.0,3.0,12.0,12.0,2.0,0.0,3.0,35.0,1.0,06,2021
Tres Cantos,1851.0,48.0,28.5,376.0,36.0,44.0,58.0,10.0,80.0,78.0,147.0,56.0,06,2021
"Acebeda, La",6.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,5.0,0.0,07,2021
Ajalvir,267.0,14.0,26.0,64.0,5.0,71.0,87.0,7.0,25.0,11.0,207.0,17.0,07,2021
Alameda del Valle,9.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,7.0,1.0,07,2021
"ï¿½lamo, El",733.0,41.0,115.0,141.0,38.0,173.0,225.0,6.0,42.0,69.0,532.0,84.0,07,2021
Alcalï¿½ de Henares,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,07,2021
Alcobendas,195.0,9.0,28.5,47.0,7.0,44.0,58.0,23.0,12.0,17.0,147.0,13.0,07,2021
Alcorcï¿½n,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,07,2021
Aldea del Fresno,251.0,7.0,34.0,60.0,7.0,66.0,77.0,9.0,14.0,26.0,178.0,24.0,07,2021
Algete,1067.0,36.0,159.0,231.0,37.0,216.0,388.0,4.0,103.0,66.0,845.0,49.0,07,2021
Alpedrete,786.0,28.0,113.0,209.0,18.0,163.0,255.0,4.0,35.0,53.0,649.0,45.0,07,2021
Ambite,72.0,3.0,10.0,15.0,2.0,16.0,26.0,2.0,3.0,5.0,58.0,4.0,07,2021
Anchuelo,94.0,3.0,16.0,15.0,5.0,29.0,26.0,0.0,6.0,7.0,68.0,13.0,07,2021
Aranjuez,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,07,2021
Arganda del Rey,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,07,2021
Arroyomolinos,1664.0,9.0,245.0,254.0,64.0,44.0,487.0,10.0,111.0,101.0,1288.0,13.0,07,2021
"Atazar, El",12.0,0.0,1.0,5.0,0.0,2.0,4.0,0.0,2.0,0.0,10.0,0.0,07,2021
Batres,91.0,7.0,10.0,15.0,3.0,21.0,35.0,1.0,8.0,4.0,72.0,6.0,07,2021
Becerril de la Sierra,348.0,8.0,52.0,101.0,7.0,61.0,119.0,2.0,13.0,38.0,276.0,19.0,07,2021
Belmonte de Tajo,112.0,6.0,16.0,12.0,4.0,35.0,39.0,4.0,11.0,7.0,87.0,3.0,07,2021
Berzosa del Lozoya,10.0,0.0,2.0,3.0,1.0,3.0,1.0,3.0,0.0,1.0,6.0,0.0,07,2021
"Berrueco, El",43.0,0.0,4.0,8.0,5.0,13.0,13.0,1.0,2.0,3.0,34.0,3.0,07,2021
Boadilla del Monte,195.0,51.0,217.0,47.0,47.0,400.0,58.0,3.0,71.0,76.0,147.0,62.0,07,2021
"Boalo, El",457.0,12.0,65.0,109.0,11.0,105.0,155.0,2.0,14.0,32.0,392.0,17.0,07,2021
Braojos,10.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,3.0,5.0,1.0,07,2021
Brea de Tajo,54.0,10.0,5.0,12.0,5.0,7.0,15.0,3.0,3.0,2.0,34.0,12.0,07,2021
Brunete,620.0,24.0,103.0,135.0,19.0,147.0,192.0,4.0,30.0,42.0,514.0,30.0,07,2021
Buitrago del Lozoya,100.0,4.0,14.0,17.0,4.0,32.0,29.0,4.0,5.0,7.0,66.0,18.0,07,2021
Bustarviejo,166.0,5.0,23.0,54.0,6.0,35.0,43.0,2.0,6.0,8.0,139.0,11.0,07,2021
Cabanillas de la Sierra,45.0,1.0,5.0,18.0,2.0,3.0,16.0,0.0,1.0,5.0,36.0,3.0,07,2021
"Cabrera, La",198.0,10.0,23.0,55.0,10.0,44.0,56.0,3.0,10.0,27.0,149.0,9.0,07,2021
Cadalso de los Vidrios,353.0,29.0,46.0,76.0,21.0,80.0,101.0,17.0,18.0,29.0,258.0,31.0,07,2021
Camarma de Esteruelas,556.0,32.0,71.0,85.0,27.0,143.0,198.0,3.0,55.0,35.0,414.0,49.0,07,2021
Campo Real,509.0,27.0,63.0,89.0,19.0,153.0,158.0,9.0,81.0,31.0,338.0,50.0,07,2021
Canencia,27.0,1.0,1.0,14.0,1.0,4.0,6.0,0.0,0.0,1.0,23.0,3.0,07,2021
Carabaï¿½a,168.0,9.0,17.0,36.0,6.0,41.0,59.0,4.0,11.0,17.0,122.0,14.0,07,2021
Casarrubuelos,294.0,11.0,40.0,60.0,13.0,76.0,94.0,1.0,33.0,22.0,217.0,21.0,07,2021
Cenicientos,197.0,11.0,24.0,47.0,10.0,53.0,52.0,8.0,11.0,20.0,138.0,20.0,07,2021
Cercedilla,415.0,16.0,78.0,95.0,17.0,99.0,110.0,6.0,10.0,41.0,323.0,35.0,07,2021
Cervera de Buitrago,9.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,9.0,0.0,07,2021
Ciempozuelos,195.0,9.0,28.5,361.0,7.0,44.0,540.0,20.0,114.0,17.0,1451.0,13.0,07,2021
Cobeï¿½a,327.0,9.0,48.0,77.0,6.0,75.0,112.0,2.0,34.0,26.0,243.0,22.0,07,2021
Colmenar del Arroyo,139.0,10.0,27.0,34.0,4.0,24.0,40.0,2.0,10.0,12.0,108.0,7.0,07,2021
Colmenar de Oreja,632.0,25.0,82.0,131.0,21.0,166.0,207.0,19.0,86.0,67.0,430.0,30.0,07,2021
Colmenarejo,581.0,17.0,98.0,126.0,17.0,126.0,197.0,6.0,22.0,60.0,466.0,27.0,07,2021
Colmenar Viejo,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,07,2021
Collado Mediano,529.0,15.0,79.0,138.0,18.0,116.0,163.0,4.0,26.0,70.0,399.0,30.0,07,2021
Collado Villalba,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,07,2021
Corpa,52.0,0.0,8.0,12.0,1.0,15.0,16.0,0.0,8.0,3.0,40.0,1.0,07,2021
Coslada,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,07,2021
Cubas de la Sagra,346.0,27.0,41.0,61.0,11.0,95.0,111.0,1.0,37.0,16.0,271.0,21.0,07,2021
Chapinerï¿½a,225.0,20.0,32.0,56.0,12.0,39.0,66.0,1.0,11.0,14.0,179.0,20.0,07,2021
Chinchï¿½n,410.0,15.0,63.0,85.0,16.0,100.0,131.0,20.0,25.0,23.0,302.0,40.0,07,2021
Daganzo de Arriba,601.0,35.0,60.0,108.0,30.0,101.0,267.0,1.0,72.0,25.0,462.0,41.0,07,2021
"Escorial, El",888.0,30.0,123.0,218.0,25.0,170.0,322.0,10.0,31.0,57.0,746.0,44.0,07,2021
Estremera,118.0,3.0,19.0,28.0,3.0,29.0,36.0,6.0,7.0,17.0,79.0,9.0,07,2021
Fresnedillas de la Oliva,153.0,5.0,23.0,35.0,4.0,34.0,52.0,0.0,1.0,19.0,120.0,13.0,07,2021
Fresno de Torote,161.0,4.0,18.0,40.0,5.0,34.0,60.0,4.0,17.0,10.0,120.0,10.0,07,2021
Fuenlabrada,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,07,2021
Fuente el Saz de Jarama,475.0,27.0,71.0,113.0,19.0,103.0,142.0,6.0,22.0,44.0,367.0,36.0,07,2021
Fuentidueï¿½a de Tajo,195.0,6.0,29.0,34.0,5.0,47.0,74.0,12.0,21.0,15.0,138.0,9.0,07,2021
Galapagar,195.0,71.0,28.5,47.0,63.0,44.0,58.0,3.0,61.0,17.0,147.0,13.0,07,2021
Garganta de los Montes,28.0,4.0,7.0,8.0,0.0,3.0,6.0,1.0,3.0,1.0,22.0,1.0,07,2021
Gargantilla del Lozoya y Pinilla de Buitrago,28.0,0.0,1.0,14.0,0.0,6.0,7.0,1.0,0.0,1.0,24.0,2.0,07,2021
Gascones,6.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,07,2021
Getafe,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,07,2021
Griï¿½ï¿½n,561.0,31.0,75.0,84.0,20.0,154.0,197.0,4.0,46.0,28.0,435.0,48.0,07,2021
Guadalix de la Sierra,446.0,19.0,63.0,108.0,14.0,93.0,149.0,3.0,18.0,36.0,356.0,33.0,07,2021
Guadarrama,831.0,38.0,128.0,208.0,23.0,198.0,236.0,7.0,25.0,73.0,668.0,58.0,07,2021
"Hiruela, La",2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,07,2021
Horcajo de la Sierra-Aoslos,13.0,0.0,2.0,2.0,1.0,5.0,3.0,0.0,0.0,2.0,10.0,1.0,07,2021
Horcajuelo de la Sierra,7.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,6.0,0.0,07,2021
Hoyo de Manzanares,423.0,13.0,53.0,115.0,10.0,88.0,144.0,3.0,13.0,22.0,361.0,24.0,07,2021
Humanes de Madrid,1507.0,59.0,234.0,206.0,7.0,44.0,432.0,12.0,135.0,122.0,1122.0,13.0,07,2021
Leganï¿½s,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,07,2021
Loeches,602.0,35.0,73.0,110.0,31.0,145.0,208.0,13.0,72.0,47.0,439.0,31.0,07,2021
Lozoya,28.0,0.0,1.0,5.0,2.0,6.0,14.0,1.0,3.0,1.0,22.0,1.0,07,2021
Madarcos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2021
Madrid,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,07,2021
Majadahonda,195.0,75.0,28.5,47.0,65.0,44.0,58.0,14.0,105.0,125.0,147.0,85.0,07,2021
Manzanares el Real,505.0,14.0,73.0,132.0,15.0,122.0,149.0,4.0,23.0,34.0,429.0,15.0,07,2021
Meco,933.0,33.0,149.0,162.0,38.0,236.0,315.0,4.0,101.0,67.0,707.0,54.0,07,2021
Mejorada del Campo,1791.0,9.0,28.5,315.0,7.0,44.0,521.0,17.0,12.0,17.0,1354.0,89.0,07,2021
Miraflores de la Sierra,433.0,12.0,74.0,120.0,9.0,82.0,136.0,3.0,19.0,38.0,348.0,25.0,07,2021
"Molar, El",589.0,16.0,89.0,125.0,16.0,152.0,191.0,6.0,45.0,56.0,451.0,31.0,07,2021
"Molinos, Los",287.0,28.0,64.0,60.0,7.0,54.0,74.0,1.0,8.0,27.0,197.0,54.0,07,2021
Montejo de la Sierra,11.0,1.0,1.0,4.0,1.0,2.0,2.0,0.0,1.0,1.0,8.0,1.0,07,2021
Moraleja de Enmedio,318.0,12.0,39.0,68.0,18.0,75.0,106.0,1.0,34.0,20.0,243.0,20.0,07,2021
Moralzarzal,718.0,25.0,96.0,185.0,25.0,138.0,249.0,7.0,31.0,47.0,598.0,35.0,07,2021
Morata de Tajuï¿½a,630.0,26.0,86.0,119.0,24.0,165.0,210.0,3.0,73.0,48.0,422.0,58.0,07,2021
Mï¿½stoles,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,07,2021
Navacerrada,148.0,4.0,13.0,42.0,4.0,30.0,55.0,1.0,4.0,10.0,128.0,5.0,07,2021
Navalafuente,127.0,7.0,21.0,41.0,3.0,24.0,31.0,3.0,4.0,13.0,99.0,8.0,07,2021
Navalagamella,182.0,3.0,32.0,49.0,3.0,40.0,55.0,6.0,4.0,16.0,141.0,15.0,07,2021
Navalcarnero,195.0,9.0,28.5,355.0,7.0,44.0,58.0,3.0,131.0,17.0,147.0,13.0,07,2021
Navarredonda y San Mamï¿½s,8.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,1.0,6.0,0.0,07,2021
Navas del Rey,246.0,13.0,34.0,58.0,15.0,52.0,74.0,3.0,9.0,29.0,181.0,24.0,07,2021
Nuevo Baztï¿½n,471.0,23.0,66.0,112.0,15.0,103.0,152.0,2.0,60.0,38.0,344.0,27.0,07,2021
Olmeda de las Fuentes,14.0,1.0,3.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,13.0,1.0,07,2021
Orusco de Tajuï¿½a,113.0,3.0,17.0,25.0,4.0,29.0,35.0,3.0,10.0,11.0,78.0,11.0,07,2021
Paracuellos de Jarama,1059.0,26.0,132.0,225.0,25.0,279.0,372.0,23.0,75.0,72.0,861.0,28.0,07,2021
Parla,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,07,2021
Patones,26.0,0.0,8.0,5.0,2.0,4.0,7.0,0.0,0.0,2.0,23.0,1.0,07,2021
Pedrezuela,355.0,9.0,47.0,77.0,8.0,98.0,116.0,2.0,24.0,22.0,285.0,22.0,07,2021
Pelayos de la Presa,311.0,20.0,55.0,73.0,15.0,60.0,88.0,3.0,13.0,33.0,224.0,38.0,07,2021
Perales de Tajuï¿½a,320.0,13.0,48.0,69.0,17.0,63.0,110.0,2.0,35.0,34.0,212.0,37.0,07,2021
Pezuela de las Torres,52.0,2.0,3.0,16.0,1.0,13.0,17.0,0.0,4.0,5.0,39.0,4.0,07,2021
Pinilla del Valle,11.0,0.0,3.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,10.0,0.0,07,2021
Pinto,195.0,9.0,28.5,47.0,7.0,44.0,58.0,20.0,12.0,17.0,147.0,13.0,07,2021
Piï¿½uï¿½car-Gandullas,11.0,0.0,3.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,10.0,1.0,07,2021
Pozuelo de Alarcï¿½n,195.0,74.0,28.5,47.0,68.0,44.0,58.0,13.0,100.0,122.0,147.0,13.0,07,2021
Pozuelo del Rey,95.0,1.0,14.0,12.0,3.0,31.0,34.0,0.0,11.0,6.0,75.0,3.0,07,2021
Prï¿½dena del Rincï¿½n,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,07,2021
Puebla de la Sierra,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,07,2021
Quijorna,230.0,15.0,25.0,47.0,5.0,57.0,81.0,3.0,7.0,16.0,185.0,19.0,07,2021
Rascafrï¿½a,89.0,3.0,11.0,27.0,2.0,16.0,30.0,1.0,3.0,4.0,78.0,3.0,07,2021
Redueï¿½a,18.0,1.0,1.0,4.0,0.0,5.0,7.0,0.0,3.0,2.0,12.0,1.0,07,2021
Ribatejada,66.0,3.0,5.0,12.0,3.0,15.0,28.0,2.0,0.0,0.0,62.0,2.0,07,2021
Rivas-Vaciamadrid,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,07,2021
Robledillo de la Jara,6.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,07,2021
Robledo de Chavela,341.0,22.0,40.0,74.0,25.0,72.0,108.0,7.0,13.0,19.0,268.0,34.0,07,2021
Robregordo,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,07,2021
"Rozas de Madrid, Las",195.0,9.0,28.5,47.0,60.0,44.0,58.0,8.0,115.0,17.0,147.0,13.0,07,2021
Rozas de Puerto Real,52.0,4.0,11.0,17.0,1.0,8.0,11.0,3.0,1.0,6.0,38.0,4.0,07,2021
San Agustï¿½n del Guadalix,681.0,18.0,91.0,163.0,16.0,144.0,249.0,4.0,53.0,42.0,565.0,17.0,07,2021
San Fernando de Henares,195.0,9.0,28.5,47.0,7.0,44.0,58.0,15.0,12.0,17.0,147.0,13.0,07,2021
San Lorenzo de El Escorial,1039.0,35.0,169.0,244.0,37.0,225.0,329.0,6.0,31.0,64.0,876.0,62.0,07,2021
San Martï¿½n de la Vega,1607.0,77.0,230.0,310.0,7.0,44.0,481.0,3.0,108.0,17.0,1176.0,13.0,07,2021
San Martï¿½n de Valdeiglesias,716.0,39.0,115.0,168.0,37.0,181.0,176.0,16.0,38.0,80.0,497.0,85.0,07,2021
San Sebastiï¿½n de los Reyes,195.0,9.0,28.5,47.0,7.0,44.0,58.0,18.0,12.0,17.0,147.0,13.0,07,2021
Santa Marï¿½a de la Alameda,116.0,2.0,11.0,35.0,6.0,28.0,34.0,0.0,4.0,7.0,101.0,4.0,07,2021
Santorcaz,54.0,2.0,7.0,13.0,1.0,11.0,20.0,0.0,5.0,3.0,40.0,6.0,07,2021
"Santos de la Humosa, Los",167.0,6.0,31.0,32.0,6.0,44.0,48.0,0.0,19.0,9.0,134.0,5.0,07,2021
"Serna del Monte, La",9.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,7.0,1.0,07,2021
Serranillos del Valle,304.0,14.0,46.0,55.0,17.0,78.0,94.0,0.0,29.0,28.0,223.0,24.0,07,2021
Sevilla la Nueva,589.0,27.0,86.0,131.0,22.0,130.0,193.0,4.0,32.0,47.0,467.0,39.0,07,2021
Somosierra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2021
Soto del Real,405.0,21.0,61.0,110.0,9.0,78.0,126.0,7.0,22.0,29.0,329.0,18.0,07,2021
Talamanca de Jarama,215.0,9.0,28.0,50.0,7.0,63.0,58.0,1.0,10.0,14.0,184.0,6.0,07,2021
Tielmes,258.0,10.0,34.0,68.0,5.0,66.0,75.0,13.0,33.0,20.0,168.0,24.0,07,2021
Titulcia,125.0,6.0,21.0,25.0,6.0,29.0,38.0,3.0,7.0,6.0,101.0,8.0,07,2021
